what are bigos?	["Stew"]	["Polish food"]
where does lil wayne go to school?	["University of Houston"]	["University of Houston", "Lafayette Elementary School", "University of Phoenix", "Eleanor McMain Secondary School", "Mcmain Magnet Secondary School"]
what time zone am i in california?	["Pacific Time Zone", "UTC-8"]	["Pacific Time Zone", "UTC-8"]
what animal represents california?	["California grizzly bear"]	["Square dance", "Desert tortoise", "Sequoiadendron giganteum", "Garibaldi", "Eschscholzia californica", "Pasadena Playhouse", "Gold", "Wine", "Golden trout", "Serpentine group", "Sequoia sempervirens", "Gray whale", "California Quail", "California grizzly bear", "Saber-toothed cat", "Californian", "Eureka", "I Love You, California", "Bodie", "Zerene eurydice", "Smilodon californicus", "Benitoite", "Calico", "San Juaquin soil", "West Coast Swing"]
what country do maltese come from?	["Region of Malta"]	["COMEFROM"]
where did emperor constantine die?	["Constantinople"]	["Nicomedia"]
what airport is near arlington tx?	["Arlington Municipal Airport"]	["Arlington Municipal Airport"]
what was antoni gaudi inspired by?	["William Morris", "Eug\u00e8ne Viollet-le-Duc"]	["Eug\u00e8ne Viollet-le-Duc", "William Morris"]
who is princess leia in star wars?	["Carrie Fisher"]	["Carrie Fisher"]
who did james franco play in milk?	["Him/Herself"]	["Scott Smith"]
what countries are part of the uk?	["Scotland", "England", "Wales", "Northern Ireland"]	["England", "Scotland", "Wales", "Northern Ireland"]
what form of government is the uk?	["Parliamentary system", "Unitary state", "Constitutional monarchy", "Hereditary monarchy"]	["Constitutional monarchy", "Parliamentary system", "Unitary state"]
what language turkey people speak?	["Turkish Language"]	["Arabic Language", "Ladino Language", "Turkish Language", "Kurdish language", "Zazaki language"]
what languages are there in japan?	["Japanese Language"]	["Japanese Language"]
what did warren buffett invest in?	["Berkshire Hathaway"]	["Businessperson", "Entrepreneur", "Financier", "Investor"]
what are some ancient egypt names?	["Abdel Hakim Amer", "Abdul Munim Riad", "Ahmad Ismail Ali", "Abdul Munim Wassel", "Saad El Shazly", "Hosni Mubarak", "Mohammed Aly Fahmy", "Anwar Sadat", "Abd-Al-Minaam Khaleel", "Abdel Ghani el-Gamasy"]	["eg"]
where does the tennessee river go?	["Lenoir City", "Knoxville", "Savannah", "Kingston", "New Johnsonville", "Signal Mountain", "Grand Rivers", "Crump", "Killen", "Loudon"]	["Ohio River"]
where was rihanna born and raised?	["Saint Michael Parish", "Barbados"]	["Saint Michael Parish"]
where is president kennedy buried?	["Arlington National Cemetery"]	["Arlington National Cemetery"]
what has ian somerhalder acted in?	["Smallville", "The Vampire Diaries", "Lost", "Tell Me You Love Me", "Fearless", "Young Americans"]	["The Vampire Diaries", "Lost"]
who was juan ponce de leon family?	["Leonor de Guzm\u00e1n de Silva", "Juan Ponce de Le\u00f3n, II conde de Arcos"]	["Explorer"]
what county is kansas city kansas?	["Wyandotte County"]	["Wyandotte County"]
what college did maya moore go to?	["University of Connecticut"]	["University of Connecticut", "Collins Hill High School"]
what songs do zac brown band sing?	["As She's Walking Away", "You Get What You Give", "Free", "The Foundation", "Chicken Fried"]	["John Hopkins", "Zac Brown", "Jimmy De Martini", "Clay Cook", "Chris Fryar", "John Driskell Hopkins", "Coy Bowles", "Daniel de los Reyes"]
when did kaley cuoco join charmed?	["Charmed Season 8"]	["1985-11-30"]
what team is hank baskett on 2010?	["Philadelphia Eagles"]	["Philadelphia Eagles"]
what books did louis sachar wrote?	["Sixth Grade Secrets"]	["Holes"]
who will play mr gray in the film?	["Karen Mulder"]	["Gray wrote articles for technical journals and organised the first International Electrical Congress in 1893.", "He lived an extraordinarily long life in Chicago but died in Massachusetts, while visiting a friend, still involved in a series of experiments in connection with an undersea signaling device.", "In 1880, he was appointed professor of dynamic electricity at his old college, Oberlin and he continued working on electrical communication.", "As a result, in 1891, he developed the telautograph, which was able to transmit facsimiles of handwriting.", "He exhibited at the World's Columbian Exposition in Chicago in 1893,  and gained professional recognition and honorary degrees for his work.", "In 1875, Gray and Bell each found out about each other's work, so the race began, to finalise development and apply for recognition.", "In July of that year, Bell transmitted voice and, on 14th February 1876, he applied for a patent on his telephone.", "On the same day, just a few hours later, Gray filed for a similar device.", "In 1879, after a long court battle, Bell's patent was upheld, leaving Gray bitter for many years, convinced that Bell had stolen his ideas.", "Together, the two devices made a telephone.", "Gray wasn't aware that Alexander Graham Bell was developing a transmitter of his own, to pick up sounds and transform them into current directed to a diaphragm receiver, developed by Edward C. Pickering four years previously.", "Gray's first successful invention was a telegraphic relay, patented in 1867, that got him the backing of the Western Union Telegraph Company.", "He found the money to buy a half share in a Cleveland business that made telegraph instruments, which later amalgamated with Western Union and re-launched as Western Electric in 1872.", "Gray sold his share to concentrate solely on invention.", "He discovered he could transmit tones by sending a current, interrupted at a set frequency, through the coil of an electromagnet, to vibrate a steel reed tuned to the same pitch.", "He realised that the pitch of the whine changed when the frequency of the wave varied so, in 1875, he patented a system that transmitted various tones electrically and carried several messages simultaneously on the same wire.", "He next developed an electromagnetic diaphragm receiver and a liquid transmitter of tones generated by current-interrupters.", "In the race to invent the telephone Gray lost by a matter of hours, but  went on to invent the fax machine.", "Bell was given the patent, so Western Union purchased Gray's rights and presented a claim to priority.", "His work related to that of Edison."]
where is dwayne johnson ethnicity?	["African American", "Samoan American"]	["Hayward"]
who is khloe kardashian's husband?	["Lamar Odom"]	["Lamar Odom"]
where did anne frank go to school?	["Montessori Lyceum Amsterdam"]	["Montessori Lyceum Amsterdam", "Jewish Lyceum"]
when did the burma cyclone happen?	["1999 Odisha cyclone"]	["Battle of Pokoku and Irrawaddy River operations", "Burma Campaign", "Southeast Asian theatre of World War II", "Battle of the Admin Box", "Battle of Meiktila and Mandalay", "Battle of Yunnan-Burma Road", "Battle of Northern Burma and Western Yunnan", "Ten Great Campaigns", "Burma Campaign 1944", "Internal conflict in Burma", "Battle of San Jos\u00e9 del Cabo", "First Anglo-Burmese War", "Third Anglo-Burmese War", "Luchuan\u2013Pingmian campaigns", "Battle of Pegu", "Campaign at the China\u2013Burma border", "Japanese conquest of Burma", "Battle of Sittang Bridge", "Mongol invasions of Burma", "Taukkyan Roadblock", "Burma Campaign 1942\u20131943", "Burma Campaign 1944\u20131945", "China Burma India Theater", "Battle of Bilin River", "Kokang incident"]
what kind of government is sweden?	["Representative democracy", "Unitary state", "Parliamentary system", "Constitutional monarchy", "Hereditary monarchy", "Multi-party system"]	["Constitutional monarchy", "Representative democracy", "Parliamentary system", "Unitary state", "Hereditary monarchy"]
what else did ben franklin invent?	["Lightning rod", "Franklin stove", "Bifocals", "Glass harmonica"]	["Glass harmonica", "Franklin stove", "Lightning rod", "Bifocals"]
who did richard nixon run against?	["richard milhous nixon lost election to john fitzgerald kennedy"]	["NASA", "United States Drug Enforcement Administration", "Prison Fellowship", "United States Environmental Protection Agency", "National Oceanic and Atmospheric Administration", "Occupational Safety and Health Administration", "Minority Business Development Agency"]
where to go fishing in roanoke va?	["Rainbow Bluff Expedition"]	["Roanoke Civic Center", "Valley View Mall", "Hotel Roanoke", "Virginia Museum of Transportation", "Taubman Museum of Art", "Blue Ridge Parkway", "O. Winston Link Museum", "Roanoke Star", "Mill Mountain Zoo", "Virginia's Explore Park", "Mill Mountain Theatre"]
what is john edwards indicted for?	["Political corruption"]	["United States Senator"]
what kind of government does peru?	["Presidential system"]	["Presidential system", "Republic", "Unitary state", "Constitutional republic"]
what countries included in the uk?	["Scotland", "England", "Wales", "Northern Ireland"]	["Edinburgh", "Swansea", "Fife", "Aberdeenshire", "Aberdeen", "County Down", "Pembrokeshire", "North Lanarkshire", "North West England", "Scottish Borders", "Cardiff", "Dundee", "East Midlands", "North East England", "Glasgow", "Neath Port Talbot", "Argyll and Bute", "Perth and Kinross", "Ceredigion", "Monmouthshire", "County Tyrone", "County Armagh", "Denbighshire", "Merthyr Tydfil", "East of England", "East Dunbartonshire", "Powys", "Conwy County Borough", "Greater London", "Anglesey", "Gwynedd", "County Fermanagh", "Newport", "South East England", "East Ayrshire", "Midlothian", "Torfaen", "Rhondda Cynon Taf", "Flintshire", "Clackmannanshire", "West Midlands", "Angus", "County Antrim", "Renfrewshire", "Yorkshire and the Humber", "South Ayrshire", "Vale of Glamorgan", "Highland", "South West England", "Stirling", "North Ayrshire", "Wrexham County Borough", "South Lanarkshire", "West Lothian", "Londonderry", "West Dunbartonshire", "Bridgend County Borough", "Moray", "East Renfrewshire", "Falkirk", "Dumfries and Galloway", "East Lothian", "Blaenau Gwent", "Carmarthenshire", "Inverclyde", "Caerphilly County Borough", "Comhairle nan Eilean Siar", "Shetland", "Orkney"]
what currency to take to barbados?	["Barbadian dollar"]	["Barbadian dollar"]
where is olympic national park wa?	["Jefferson County", "Washington"]	["Washington"]
which country won the crimean war?	["Russian Empire"]	["Ottoman wars in Europe", "Victorian era"]
what do people in australia speak?	["Lojban", "Esperanto Language", "English Language"]	["English Language", "Esperanto Language", "Lojban"]
what state is mount st. helens in?	["Washington"]	["Volcano", "Stratovolcano"]
what money do i use in costa rica?	["Costa Rican col\u00f3n"]	["Costa Rican col\u00f3n"]
what countries does nafta include?	["Canada", "United States of America", "Mexico"]	["United States of America", "Mexico", "Canada"]
what nationality is mother teresa?	["India"]	["India", "Albania"]
where did giuliana rancic grow up?	["Naples"]	["Washington, D.C."]
who did vasco de gama explore for?	["Portugal"]	["Clube de Regatas Vasco da Gama", "Vasco da Gama", "Vasco da Gama Bridge", "Vasco da Gama Tower", "Vasco da Gama"]
what state did john adams live in?	["Massachusetts"]	["Massachusetts", "Braintree"]
who was frida kahlo influenced by?	["Diego Rivera"]	["Diego Rivera"]
what was scottie pippen known for?	["Basketball player"]	["Actor", "Basketball player"]
what did the ancient romans speak?	["Latin Language"]	["Latin Language"]
what art did wassily kandinsky do?	["Abstract art", "German Expressionism", "Expressionism", "Der Blaue Reiter"]	["Der Blaue Reiter", "Abstract art", "Expressionism", "German Expressionism"]
where is traditional chinese used?	["Canada", "Brunei", "Singapore", "Malaysia", "Sh\u011bn", "Vietnam", "China"]	["Logogram"]
who is angelina jolie mom and dad?	["Jon Voight", "Marcheline Bertrand"]	["Jon Voight", "Marcheline Bertrand"]
where did salvador dali study art?	["Real Academia de Bellas Artes de San Fernando"]	["Real Academia de Bellas Artes de San Fernando"]
who was the italian leader in ww1?	["Benito Mussolini"]	["George Johnston", "Eugene Paul Bennett", "Frederick Fisher", "Henryk Sucharski", "Brooke Brewer", "Edmund Arpin", "Charles Vere Ferrers Townshend", "John Shea", "Iven Mackay", "James McCudden", "Hans Kirschstein", "Hermann Schoemann", "Loudoun MacLean", "Tullio Tamburini", "Hermann Frommherz", "Friedrich Christiansen", "Jean Colin", "\u00c9mile Paul Amable Gu\u00e9pratte", "Victor Odlum", "Rudolf John Gorsleben", "William Michael Crose", "Karl Bolle", "Sir Robert Cary, 1st Baronet", "Gerhard Fieseler", "Joe Slater", "George Challis", "Hugh Havelock McLean", "Henry Cockshutt", "Dennis Draper", "Gilbert Monture", "Cooper Smeaton", "Constant Plessis", "Josif Runjanin", "George Long", "Paul Marchandeau", "Armand Pinsard", "Michel Coiffard", "Nigel Bruce", "Georges Braque", "J. R. R. Tolkien", "Vasili Blokhin", "Norman Bethune", "Maximilian von Herff", "Heinrich Kreipe", "Gladys Powers", "Wilhelm Falley", "Annibale Ciarniello", "Fritz Fullriede", "Louis Greig", "Edmund Hoffmeister", "Ulrich Kleemann", "Robert Martinek", "Wilhelm Groener", "Helmut Hasse", "Alexander von Kluck", "Josef Harpe", "Karl Henke", "Hans Gollnick", "Julius Ringel", "Hans Kreysing", "Kurt Zeitzler", "Walter Fries", "Walter Hartmann", "Hermann-Heinrich Behrend", "Walter Gorn", "Franz Griesbach", "Kurt Feldt", "Heinrich Kirchheim", "Erich Brandenberger", "Fritz Bayerlein", "Heinrich Eberbach", "Karl Bodenschatz", "Erich Hoepner", "Werner von Gilsa", "Hans Cramer", "Gustav Gihr", "Werner Kempf", "Kurt von Briesen", "Hans-Valentin Hube", "Harry Cobby", "Friedrich Foertsch", "Kuno-Hans von Both", "Paul Conrath", "Fritz Pfeffer", "Alexander Andrae", "Wolfgang Fischer", "Friedrich Freiherr von Broich", "Hyazinth Graf Strachwitz von Gross-Zauche und Camminetz", "Karl Allmendinger", "Maximilian de Angelis", "Heinrich Krampf", "Edgar Feuchtinger", "Theodor von Hippel", "Wilhelm Adam", "Erich Fellgiebel", "Heinrich Graf zu Dohna-Schlobitten", "Ferdinand Jodl", "Friedrich Dollmann", "Edmund Blaurock", "Alexander L\u00f6hr", "Valentin Feurstein", "Heinz Hellmich", "Rudolf Demme", "William Slim, 1st Viscount Slim", "Roland Garros", "Movses Silikyan", "Oskar von Hutier", "Joseph de Goislard de Monsabert", "Frank Carney", "John Francis Young", "Moritz von Bissing", "Jacob van Deventer", "Ted Freeman", "Charles Justin Bailey", "Charles Burke", "William Sims", "Henry John Burden", "Lionel Rees", "John George Smyth", "Lala", "Frederick Stanley Maude", "G\u00fcnther Korten", "Helmuth von Moltke the Younger", "Aylmer Hunter-Weston", "Edgar Julius Jung", "Gobind Singh", "Frederick Birks", "Khudadad Khan", "Peter von Heydebreck", "Gabar Singh Negi", "Darwan Singh Negi", "Mir Dast", "Mick Mannock", "William Heneker", "Edgar Bentley", "Bright Williams", "Robert Webster Cary", "George Edwin Thomson", "Indra Lal Roy", "Ferdinand von Bredow", "Sir Charles Monro, 1st Baronet", "Friedrich von Scholtz", "Alexander Jobson", "Victor Blue", "Gordon Jacob", "Wentworth Beaumont, 2nd Viscount Allendale", "Raymond Asquith", "Ernst Udet", "Camil Petrescu", "Teller Ammons", "James Gray Turgeon", "Ernst Ludwig Kirchner", "Horace Sewell", "Louis Darquier de Pellepoix", "Granville Ryrie", "Leonid Gobyato", "Ali-Agha Shikhlinski", "John French, 1st Earl of Ypres", "Donald Simpson Bell", "William Frederick James Harvey", "Raoul Magrin-Vernerey", "Stepa Stepanovi\u0107", "Paul Ludwig Ewald von Kleist", "Evelyn Barker", "John Russell Young Blakely", "Keith Johnson", "Keith Macpherson Smith", "Colmar Freiherr von der Goltz", "Nedo Nadi", "Khalil Pasha", "Pearce Bailey", "Lucien Petit-Breton", "Hubert Beaumont", "Charles Laking", "John Everard Gurdon", "Wolf-Heinrich Graf von Helldorf", "Maurice Boyau", "Emory Jenison Pike", "Walter Flex", "John Carnegie, 12th Earl of Northesk", "Gabriel Gabrio", "Leonard Barnes", "Giovanni Messe", "Edmund Drake-Brockman", "Mihail Manoilescu", "George Edwin Patey", "Gorch Fock", "Alfred Alexander Burt", "Orlando Bridgeman, 5th Earl of Bradford", "William Henry Metcalf", "Roy Inwood", "Ernst Busch", "Henri Dentz", "Oliver Baldwin, 2nd Earl Baldwin of Bewdley", "Fedor von Bock", "John Francis Buckley", "Tawfiq Canaan", "Walther von Brauchitsch", "Hermann Balck", "Kurt Student", "Giorgi Kvinitadze", "Leopold III of Belgium", "Mehmet Esat B\u00fclkat", "Alexandros Mazarakis-Ainian", "Rewi Alley", "Stephen Bonsal", "William Buckingham", "Clifford Webb", "Philippe P\u00e9tain", "Bruce Bairnsfather", "Owen Cleary", "Godfrey Elton, 1st Baron Elton", "Harold Bache", "Philip Neame", "Adolphe P\u00e9goud", "Fred Spiksley", "Stepan Krasovsky", "Gilbert Barling", "Ivan Vasilyevich Smirnov", "Max Hoffmann", "Max von Gallwitz", "Jukums V\u0101cietis", "Henry Poole MacKeen", "Johan Laidoner", "Nikolay Iudovich Ivanov", "Gustav Klaudat", "Alexander Ilyich Yegorov", "Prince Konrad of Bavaria", "Boles\u0142aw Wieniawa-D\u0142ugoszowski", "George Reginald Geary", "Prince Georg of Bavaria", "Tadeusz Jordan-Rozwadowski", "Italo Balbo", "Frank Arthur Brock", "Harold Alexander, 1st Earl Alexander of Tunis", "Robert Eyssen", "Gerard Bucknall", "Noel Beresford-Peirse", "James Mitchell Chase", "Alexander Kolchak", "Pyotr Krasnov", "Prince Francis Joseph of Braganza", "Sydir Kovpak", "Maria Nikiforova", "William Grant", "Nikolai Essen", "Lev Galler", "Brian Edmund Baker", "Alfred Blenkiron", "George Mitchell", "Leonard Hammond", "Truman Smith", "Hobey Baker", "Frederick Clayton Casselman", "Robert Nivelle", "Thomas Cameron", "Maximilian von Spee", "Semyon Timoshenko", "Erwin Fues", "Christopher Cradock", "George Burdon McKean", "Walter Carey", "Fred Whitman", "Lothar von Richthofen", "Octav Onicescu", "Theodor Habicht", "Friedrich von Ingenohl", "William Harold Coltman", "Thain Wendell MacDowell", "Nikolai Pavlovich Sablin", "Raymond Collishaw", "David Hacohen", "Kurt Wintgens", "Maximilian Ronge", "Joseph Kaeble", "Harold Corbett", "William Tasker", "Yurii Tiutiunnyk", "Werner Voss", "Robert Hall", "Charles Hawker", "Mikhail Bakhirev", "Horace Percy Lale", "Vernon Sturdee", "Arda Bowser", "Coulson Norman Mitchell", "Bernard Delaire", "Charles deForest Chandler", "Paul von Hintze", "Henry Gilbert Costin", "Rupert Balfe", "Carl Menckhoff", "Will Cuppy", "Maharaja Sri Sir Pratap Singh", "Thadeus von Sievers", "Earle Childs", "Charles Hickey", "Mitchell Hepburn", "Frederick Browning", "Mikhail Tukhachevsky"]
